length, compute base, OMP compute, Memory Base, OMP Memory, Overhead base, OMP overhead
2, 171732, 16282847, 2235, 35787331, 794, 29389223
4, 47963, 59284, 1406, 339201, 768, 17795107
6, 39912, 17574, 1423, 8920, 838, 23106286
8, 62825, 16300, 1412, 5950, 957, 11652513
10, 88911, 20474, 1873, 6356, 1145, 17739
12, 127774, 26323, 2378, 6406, 1595, 6841
14, 175554, 33521, 3059, 6188, 1728, 6148
16, 225063, 41090, 3674, 7055, 2085, 6020
18, 286989, 50897, 4579, 7902, 2505, 6153
20, 352828, 59769, 5678, 7890, 2946, 5701
22, 639554, 71328, 6655, 8897, 3448, 6327
24, 327581, 83067, 8549, 11513, 4025, 6197
26, 407641, 97567, 11379, 13226, 4666, 6733
28, 439202, 113839, 12794, 14299, 5214, 6322
30, 510806, 127747, 953569, 14604, 5846, 7186
32, 598101, 144347, 19893857, 16274, 6606, 6768
34, 685565, 160645, 35052, 17895, 7464, 7818
36, 744763, 180052, 24969, 21161, 8398, 7319
38, 821204, 199940, 34167, 24064, 9210, 8421
40, 895435, 220550, 35148, 25282, 10176, 8714
42, 1009472, 242970, 40536, 28515, 11301, 8807
44, 1122424, 269308, 47838, 31543, 12255, 8755
46, 1210668, 293648, 59864, 37665, 13316, 10086
48, 1302975, 320212, 65650, 41006, 14949, 9790
50, 1459778, 346422, 77957, 45611, 16825, 11069
52, 1501849, 374735, 87603, 51640, 18797, 10732
54, 1608978, 42780811, 94447, 51741, 20157, 11681
56, 1734785, 34727714, 109808, 59986, 21668, 11988
58, 1854610, 12095900, 124932, 64220, 23107, 11971
60, 2023170, 518720, 136648, 70548, 24739, 12600
62, 2231294, 530325, 152708, 190695, 26271, 13073
64, 2454928, 565436, 164664, 79677, 27927, 13290
66, 2532123, 598148, 187096, 89357, 29754, 15633
68, 2659204, 636750, 204777, 96546, 31456, 14587
70, 2811141, 672733, 216087, 99905, 33289, 15778
72, 3278983, 711665, 229880, 107131, 35214, 16150
74, 3270504, 750984, 266315, 113268, 36951, 17434
76, 3468652, 795095, 283936, 125210, 39034, 17391
78, 3624889, 836081, 288173, 132634, 40991, 18583
80, 3608313, 897584, 292346, 139652, 43033, 19009
82, 3740318, 922034, 300060, 145890, 45228, 20340
84, 4039775, 968223, 318112, 155312, 47388, 20746
86, 4127735, 1014588, 339732, 161721, 49706, 22573
88, 4333542, 35509311, 358341, 172384, 51947, 22544
90, 4725480, 34882412, 394806, 178149, 54319, 24090
92, 4701184, 15829104, 403941, 294445, 56581, 24365
94, 4991047, 1250372, 425418, 15197020, 59525, 25331
96, 5160869, 1262923, 462474, 315041, 61578, 25508
98, 5320026, 1312919, 477264, 216911, 64310, 27489
100, 5706573, 1364331, 498046, 232542, 67259, 27547
102, 5765118, 1420860, 548749, 242036, 70536, 29504
104, 6104502, 5117864, 555167, 244551, 72540, 30238
106, 6169138, 43452585, 576795, 254121, 74561, 31775
108, 6685631, 56901770, 603185, 266556, 77983, 33025
110, 7347735, 1684250, 633302, 320316, 80591, 34257
112, 7445207, 1721819, 684078, 292259, 84268, 34887
114, 8040795, 1774121, 12742321, 299686, 87136, 35165
116, 8597908, 1832539, 736359, 304865, 89981, 36589
118, 7842093, 1897922, 766438, 29848383, 93078, 38193
120, 8056927, 1962627, 785650, 18607583, 95621, 38048
