length, ijk, ijk omp, kij, kij omp
400, 109342736, 29902090, 83599738, 45860468
600, 365940498, 98429598, 275375146, 146996028
800, 879121702, 234872924, 646831140, 458222408
1000, 1698569184, 452594816, 1263425158, 673853982
1200, 3536081112, 881092828, 2295418002, 1204276858
1400, 8602573002, 1690569310, 3874916440, 1928750734
1600, 15224028864, 3624784834, 5698707964, 2862893424
1800, 14661770278, 3805778174, 8173958070, 4072522940
2000, 19874640260, 4725172598, 10957480904, 5567988482
2200, 27421578452, 6982918636, 14549047966, 7374132818
2400, 51487309708, 12397310334, 18874286326, 9587027378
2600, 44796859616, 11596325020, 23856019572, 12131609198
