length, ijk, ijk omp, kij, kij omp
250, 26418328, 7897126, 21323430, 11453188
300, 45239244, 13074782, 36094740, 19214816
350, 72250258, 20798380, 57306088, 31701582
400, 110707010, 31163164, 84021024, 45161794
450, 154316520, 45409290, 119865278, 64306640
500, 212982266, 61295140, 163240210, 87937120
550, 291932046, 83774116, 216721060, 117271218
600, 376161666, 108128132, 280565326, 151501136
650, 487154626, 140761938, 357253094, 192885350
700, 600090310, 172879718, 444726944, 240129266
750, 743753454, 214130474, 548231150, 297346182
800, 909229088, 261081670, 664338656, 358806566
850, 1077823792, 309767744, 794757078, 430472804
900, 1276645952, 365100640, 944798702, 510091754
950, 1513979366, 433212778, 1113742662, 600710748
1000, 1864064394, 539744292, 1297259396, 699965772
1050, 2261245752, 669672512, 1505802326, 811860816
1100, 2788281400, 825120760, 1756182490, 948300998
1150, 3686493806, 1101662586, 2036044484, 1083356936
1200, 3458394332, 1368545420, 2364210384, 1255518682
