length, compute base, OMP compute, Memory Base, OMP Memory, Overhead base, OMP overhead
20, 128252, 372821, 7223, 137039, 2006, 146464
28, 118325, 39469, 4895, 8291, 1957, 4851
36, 190657, 59867, 10471, 11649, 2740, 5608
44, 287355, 87414, 13632, 12745, 4042, 4825
52, 408102, 123264, 18731, 14282, 5150, 6478
60, 542488, 159993, 25398, 18606, 6652, 7052
68, 731597, 239685, 33268, 22837, 8508, 8296
76, 886637, 251363, 45730, 30658, 10129, 9639
84, 1080644, 303371, 53722, 34486, 11979, 10199
92, 1292907, 364295, 67929, 40800, 14059, 11484
100, 1531197, 428791, 92417, 55952, 16005, 12406
108, 1780205, 520808, 121582, 71189, 17620, 14291
116, 2053858, 604183, 143634, 76966, 20479, 15262
124, 2343168, 664216, 174559, 86373, 23930, 16211
132, 2661625, 750505, 201434, 94163, 27045, 18325
140, 2997361, 845002, 234267, 119419, 31578, 19290
148, 3349065, 951055, 271367, 128687, 36589, 21190
156, 3734637, 1055884, 315850, 155115, 41235, 22976
164, 4111060, 1169572, 356372, 166639, 46321, 24331
172, 4544911, 1283986, 407716, 174948, 52452, 26018
180, 4964762, 1404293, 448131, 195306, 57768, 28164
188, 5403584, 1532249, 505412, 231437, 62025, 30015
196, 5882841, 1663793, 551852, 240804, 67741, 31723
204, 6371949, 1806694, 617601, 304560, 72453, 33428
212, 6897600, 1946958, 602854, 286549, 79367, 36870
220, 7934463, 2102914, 663302, 307054, 85349, 38282
228, 8191125, 2256017, 716824, 319379, 128681, 40826
236, 8725154, 2423912, 774793, 342469, 96651, 44204
244, 9246609, 2592817, 841255, 376959, 103277, 45802
252, 9735227, 2775587, 907001, 393492, 109591, 48287
260, 10376150, 2938973, 973764, 415520, 115997, 52466
268, 10996669, 3119100, 1055594, 454699, 123508, 53829
276, 11662300, 3306316, 1122479, 474866, 130508, 56422
284, 12363604, 3498252, 1200138, 516666, 138376, 58635
292, 13065674, 3704451, 1292756, 546101, 147021, 61578
300, 13845151, 3906766, 1371381, 582447, 154987, 64910
308, 14542569, 4108879, 1479023, 624039, 161695, 69234
316, 15357019, 4347738, 1562653, 650200, 171265, 71922
324, 16105086, 4556688, 1653519, 692879, 178648, 75147
332, 16987489, 4783616, 1747722, 723697, 186731, 78305
340, 17809804, 5026079, 1856809, 784763, 196562, 81362
348, 18572916, 5266901, 1951810, 802653, 205389, 84404
356, 19474923, 5497996, 2079891, 858092, 215455, 87928
364, 20375025, 5748498, 2215945, 920355, 223935, 91002
372, 21209057, 5999232, 2367844, 991794, 237794, 133765
380, 22215044, 6299649, 2513293, 1044591, 243281, 97831
388, 23166737, 6538406, 2677700, 1110552, 283579, 102868
396, 24038404, 6805873, 2856183, 1169541, 290281, 140478
404, 25046766, 7087420, 3025572, 1237989, 245603, 110211
412, 26057372, 7384560, 3196530, 1374991, 255539, 115715
420, 27047937, 7656139, 3379642, 1415304, 265347, 125007
428, 28111393, 7985767, 3594004, 1524167, 274334, 121808
436, 29223511, 8256317, 3812337, 1604451, 284701, 126239
444, 30219609, 8564143, 4164690, 1749219, 295611, 159404
452, 31329459, 8866967, 4322774, 1853532, 305909, 135372
460, 32446360, 9188426, 4590714, 1992624, 323100, 139287
468, 33601322, 9493068, 4920833, 2134487, 329506, 145838
476, 34749487, 9824042, 5239174, 2315290, 342104, 150440
484, 35962378, 10196243, 5595668, 2523820, 355136, 159192
492, 37185041, 11088785, 5961474, 2767577, 367493, 162060
500, 38509056, 10950527, 6394108, 2961836, 380082, 165056
508, 39607657, 11266679, 6880795, 3210601, 390325, 171314
516, 40945955, 11549769, 7363288, 3477671, 403448, 180171
524, 42257550, 11913127, 7908520, 3778378, 425618, 181766
532, 43504245, 12300002, 8467527, 4134347, 429994, 192632
