length, ijk, ijk omp, kij, kij omp
20, 13372, 242624, 31888, 244760
30, 40714, 148496, 59326, 1124394
40, 99618, 326626, 110096, 2576754
50, 226052, 610102, 208544, 5142564
60, 323576, 1093918, 350840, 8069436
70, 526870, 1556826, 545676, 14729482
80, 782332, 1999344, 808708, 21180022
90, 1129594, 3051610, 1170634, 23835714
100, 1561106, 4796280, 1372740, 36948242
110, 2093196, 5676572, 1814928, 54886408
120, 2721640, 7308878, 2340010, 71630660
130, 3492602, 8867346, 2961342, 88004844
140, 4358910, 11529946, 3681190, 115549118
150, 5386988, 12793338, 4508072, 130775252
160, 6528254, 17179870, 5454876, 167741182
170, 7896356, 19558976, 6531022, 189192256
180, 9365778, 24004980, 7730846, 231661088
190, 11075430, 27037452, 9084212, 273257920
200, 12903974, 30108034, 10581328, 326858284
210, 15114200, 33584436, 12310798, 391099732
220, 17293046, 41378562, 14073114, 418393102
230, 19922810, 42292944, 16108432, 476294410
240, 22501728, 54742654, 18325390, 525548936
250, 25572380, 61132798, 20690350, 564494896
260, 29083036, 67955112, 23311242, 705816976
270, 32871024, 76770968, 26171534, 753956058
280, 36685718, 80981896, 29110352, 835302550
290, 40920668, 97790396, 32345418, 924888610
300, 44967230, 103103550, 35803252, 1010682892
310, 49891388, 120202210, 39465974, 1137036598
320, 56402838, 121837582, 43420878, 1286217006
330, 60283440, 142203798, 47875642, 1460212654
340, 65788854, 154966974, 52225834, 1482659800
350, 72101364, 171951414, 56803526, 1674649088
360, 78426712, 177440252, 61671434, 1878718172
370, 85281652, 195079132, 66790302, 1895285806
380, 91935470, 213799212, 72309962, 2099384600
390, 99890366, 232214994, 78111420, 2155897670
400, 110621074, 237610098, 84265632, 2539136510
410, 117005392, 272255078, 90874938, 2787012928
420, 124337478, 295584634, 97792302, 2761976294
430, 134265028, 326182192, 104437560, 3123559628
440, 144071270, 328117894, 111702284, 3365428672
450, 156034714, 361886338, 119387932, 3537020422
460, 164178750, 368591604, 127892258, 3819558108
470, 175491080, 410042084, 136340214, 4069467034
480, 194390612, 420466010, 144641614, 4519668586
490, 201575570, 449605692, 155005252, 4309156952
500, 211873774, 491629922, 163441804, 4800567954
510, 224209122, 540559462, 173248636, 5144901640
