length, ijk, ijk omp, kij, kij omp
250, 25774920, 46644418, 21249452, 329242070
300, 44645718, 73398222, 35656902, 622238476
350, 71366336, 109166276, 57096686, 114002316
400, 110675692, 156556974, 84878496, 152111584
450, 152606186, 209580528, 120390906, 202370594
500, 208214478, 274438304, 163295496, 282204276
550, 281144206, 353067454, 217110884, 411207160
600, 374128662, 446908342, 283072480, 421263584
650, 470346890, 554455700, 357392012, 495447686
700, 589555242, 709073644, 447067084, 669946098
750, 728087902, 830422044, 545878012, 706821304
800, 901065946, 988158722, 663886560, 836270318
850, 1057627816, 1162792702, 826870070, 980449486
900, 1260775538, 1363393994, 971038812, 1148718394
950, 1500065674, 1585380396, 1164044908, 1358969856
1000, 1783326126, 2121714148, 1340711906, 1925760208
1050, 1984387326, 2229067254, 1574942124, 1759366604
1100, 2455713338, 3624660536, 1814839812, 2110714344
1150, 3316756612, 2964861654, 2183071674, 2248125004
1200, 3456758858, 3319202662, 2522979264, 2532051816
